id_municipio,ano,mortalidade_1,mortalidade_5,taxa_freq_liquida_pre,indice_gini,prop_pobreza_extrema_criancas,prop_pobreza_criancas,prop_vulner_pobreza_criancas,taxa_agua_esgoto_inadequados,taxa_criancas_fora_escola_4_5
1100031,1991,41.52,52.94,0,0.7,67.41,82.74,91.22,0.63,NA
1100056,2000,27.5,32.93,14.04,0.69,22.22,46,71.37,24.82,76.09
1100262,2000,28.31,33.9,17.15,0.75,59.89,100,100,42.05,74.15
1100809,1991,54.65,69.43,15.81,0.71,33.6,67.87,89.24,9.6,NA
1101005,1991,59.58,75.59,2.24,0.7,59.61,82.29,93.75,7.8,NA
1101203,1991,41.14,52.47,4.25,0.78,60.61,81.09,92.19,5.09,NA
1101492,1991,39.23,50.06,22.95,0.71,49.62,76.07,90.74,5.41,NA
1101500,1991,44.53,56.73,4.81,0.69,65.61,86.45,96.53,5.87,NA
1101757,1991,53.47,67.95,0,0.75,68.02,87.83,94.23,5.98,NA
1200328,2000,41.58,46.15,6.07,0.72,83.19,95.12,97.47,27.66,90.29
1200328,2010,31.6,34.15,15.36,0.71,54.99,76.9,87.69,64.96,64.67
1200351,2000,41.58,46.15,14.3,0.69,63.15,87.42,96.45,22.73,83.53
1200435,2010,22.4,24.26,33.44,0.78,72.15,83.69,89.4,39.87,39.52
1300060,1991,59.59,72.73,3.39,0.7,68.82,84.6,90.9,47.52,NA
1300144,2000,43.95,53.61,19.24,0.76,49.03,69.76,84.89,55.16,57
1300201,1991,49.58,60.43,10.8,0.76,66.97,82.86,93.73,6.02,NA
1300201,2000,47.6,58.02,12.97,0.74,62,76.31,86.27,28.63,79.32
1300300,1991,49.58,60.54,20.78,0.7,55.68,77.47,90.16,50.44,NA
1300409,2010,29.5,31.5,25.33,0.74,56.8,69.84,82.67,14.04,48.52
1300607,1991,53.88,65.71,17.52,0.73,86.69,100,100,32.17,NA
1300680,2000,51.85,63.13,17.95,0.69,66.64,86.33,95.16,51.82,70.71
1300904,2000,51.85,63.13,10,0.73,70.05,87.2,92.94,50.01,85.34
1301001,2000,55.28,67.25,7.23,0.73,56.96,81.79,93.37,29.93,86.52
1301308,1991,68.95,84.02,11.8,0.7,50.23,65.81,80.36,25.05,NA
1301654,2010,23.5,25.1,34.72,0.74,60.43,78.51,90.32,70.08,29.06
1301704,2000,39.86,48.67,19.91,0.69,43.92,66.98,81.68,38.42,70.02
1301951,2010,21.8,23.33,25.39,0.8,62.72,80.11,91.65,39.48,52.25
1302207,2000,63.34,76.92,8.16,0.73,60.91,81.51,90.02,32.73,69.66
1302306,2000,50.4,61.39,7.25,0.8,73.93,87.89,95.64,30.2,85.95
1302306,2010,22.8,24.44,37.54,0.69,48.72,71.04,89.19,30.97,30.3
1302553,1991,54.43,66.37,0,0.69,45.65,66.23,81.14,75.3,NA
1302801,2010,23.2,24.87,37.55,0.69,58.84,77.4,90.25,24.7,27.02
1303502,2000,59.65,72.5,6.38,0.7,39.24,60.93,81.93,39.72,86.47
1303502,2010,30.2,32.32,32.13,0.72,54.91,73.81,87.07,35.08,49.99
1303601,2010,27.9,29.81,19.65,0.72,63.01,77.92,88.4,10.38,57.34
1303809,2000,34.2,41.81,24.17,0.77,59.48,72.01,82.44,10.21,53.59
1303809,2010,19.32,20.7,34.17,0.8,50.65,65.3,82.15,10.81,24.97
1303908,2000,47.45,57.83,10.17,0.69,70,87.35,93.23,63.32,84.69
1304302,2000,39.16,47.82,25.61,0.75,43.6,76.26,90.6,49.86,66.36
1400027,2010,15.3,16.32,24.29,0.75,68.99,82.65,91.17,26.96,64.36
1400050,2010,15.6,16.61,32.94,0.73,60.09,72.14,85.79,21.22,51.66
1400159,2010,16.1,17.21,31.95,0.72,41.61,66.34,82.04,40.25,34.78
1400233,1991,72.5,92.38,2.06,0.83,78.96,89.21,94.19,0,NA
1400308,2010,15.5,16.58,50.99,0.71,26.9,45.15,70.24,16.82,27.66
1400407,1991,72.5,92.38,3.37,0.81,72.06,84.27,88.48,13.06,NA
1400407,2000,37.65,43.64,7.54,0.81,73.39,79.53,90.57,31.75,83.71
1400407,2010,17.2,18.32,28.33,0.7,54.53,73.88,84.4,35.77,32.61
